,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Powfu,0.7041428571428572,0.42676190476190473,5.714285714285714,-10.465619047619047,0.8095238095238095,0.10037857142857146,0.5723571428571428,0.0049546985714285716,0.15613095238095234,0.3772238095238095,117.99764285714285,181215.47619047618,4.0
Future,0.7898800000000001,0.5670600000000001,4.32,-6.824020000000001,0.64,0.202924,0.0639444,0.023982227199999998,0.16182799999999997,0.3180820000000001,139.34029999999993,204659.76,3.98
Bad Bunny,0.7604024390243903,0.6709268292682926,5.085365853658536,-5.558719512195122,0.47560975609756095,0.13129268292682925,0.26251829268292687,0.00019839707317073169,0.15608902439024386,0.5216341463414632,121.78362195121957,233369.63414634147,3.975609756097561
Lil Mosey,0.7344,0.622,5.333333333333333,-7.2110666666666665,0.6,0.07489333333333333,0.27788666666666667,2.1933333333333332e-06,0.13891333333333336,0.49800000000000005,111.7566,160555.4,4.0
Justin Bieber,0.6491587301587304,0.6398253968253965,5.079365079365079,-5.936380952380953,0.49206349206349204,0.08524761904761906,0.21957514285714294,0.00018565761904761903,0.16062063492063494,0.5731888888888887,118.9427142857143,213012.92063492062,3.9523809523809526
The Weeknd,0.6000000000000001,0.6012631578947369,5.087719298245614,-7.215807017543859,0.3333333333333333,0.09266842105263152,0.23599,0.009933054736842105,0.16388596491228072,0.3368771929824561,127.54991228070175,246855.71929824562,3.9298245614035086
Lady Gaga,0.6373809523809523,0.6893095238095239,4.404761904761905,-5.555214285714285,0.6190476190476191,0.059576190476190484,0.16823019047619048,0.0019093530952380947,0.1950714285714285,0.5221904761904763,117.67707142857141,229365.66666666666,3.9285714285714284
J Balvin,0.7558780487804875,0.7226829268292683,6.573170731707317,-5.043109756097561,0.3780487804878049,0.14475731707317077,0.1659426829268293,0.009114990243902436,0.18405243902439025,0.6767682926829268,126.90045121951216,215127.78048780488,4.024390243902439
Jonas Brothers,0.6185510204081632,0.7324081632653061,4.469387755102041,-5.130408163265306,0.7755102040816326,0.06121224489795919,0.0494340612244898,0.00017921959183673472,0.17740204081632654,0.6019795918367349,122.34065306122449,201490.95918367346,3.979591836734694
Shakira,0.730625,0.7034124999999998,4.571428571428571,-6.014321428571428,0.6785714285714286,0.06969285714285714,0.2964453571428572,0.009726440357142856,0.1715785714285715,0.6429285714285715,122.85823214285712,210864.23214285713,4.0
Selena Gomez,0.6665400000000001,0.67182,6.44,-5.8836200000000005,0.36,0.10094600000000002,0.17150100000000001,0.0006653042000000003,0.16158,0.5388519999999999,117.41772,203007.0,3.98
Khalid,0.6391555555555554,0.516511111111111,4.555555555555555,-8.438555555555553,0.4666666666666667,0.10925555555555556,0.3572028888888889,0.059364697999999994,0.1540111111111111,0.36819999999999997,107.9106,209684.86666666667,3.9555555555555557
Sam Smith,0.5395135135135136,0.44113513513513514,3.972972972972973,-8.003756756756758,0.7297297297297297,0.060091891891891874,0.5453145945945945,0.005524696486486486,0.14749459459459463,0.3408108108108108,114.68294594594593,210675.24324324325,3.891891891891892
Lil Uzi Vert,0.753016393442623,0.6341147540983608,5.819672131147541,-6.1711967213114765,0.5737704918032787,0.22531311475409832,0.1655693770491803,7.059016393442623e-07,0.22978032786885247,0.41946065573770475,129.76873770491804,216796.7213114754,4.016393442622951
