artist_name,artist_uri,album_name,album_uri,track_name,track_id,popularity,total_tracks,release_date,release_date_precision
Joel Corry,spotify:artist:6DgP9otnZw5z6daOntINxp,Lonely,spotify:album:3zxRCukRL1NQC4vo7ipUet,Lonely,2ZEq4HT450Ye9IFGPTl9qV,80,1,2020-01-24,day
Halsey,spotify:artist:26VFTg2z8YR0cCuwLzESi2,Manic,spotify:album:68enXe5XcJdciSDAZr0Alr,You should be sad,7lidXGPXPYLNThITAOTlkK,91,16,2020-01-17,day
Dua Lipa,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,Physical,spotify:album:5Vzq1wKBUXMxEZl3NPjJpS,Physical,5px6upUHM3fhOP621Edp4V,91,1,2020-01-30,day
Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,Music To Be Murdered By,spotify:album:4otkd9As6YaxxEkIjXPiZ6,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,94,20,2020-01-17,day
Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,No Time To Die,spotify:album:5sXSHscDjBez8VF20cSyad,No Time To Die,73SpzrcaHk0RQPFP73vqVR,92,1,2020-02-13,day
Future,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i,Life Is Good (feat. Drake),spotify:album:5uCEoLCj3ZZZ1EtzQdQWVl,Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc,94,1,2020-01-10,day
Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s,Intentions,spotify:album:55zg331p7m1EFA4uRggkwt,Intentions,364dI1bYnvamSnBJ8JcNzN,92,1,2020-02-07,day
Jonas Brothers,spotify:artist:7gOdHgIoIKoe4i9Tta6qdD,What A Man Gotta Do,spotify:album:3SgvmlSsTrMuqICaOTlo0p,What A Man Gotta Do,4wNIkl5XGiAACjFBlDWuSd,89,1,2020-01-17,day
Powfu,spotify:artist:6bmlMHgSheBauioMgKv2tn,death bed (coffee for your head) (feat. beabadoobee),spotify:album:2p9gK2BcdrloHNJwarc9gc,death bed (coffee for your head) (feat. beabadoobee),7eJMfftS33KTjuF7lTsMCx,94,1,2020-02-08,day
Becky Hill,spotify:artist:4EPJlUEBy49EX1wuFOvtjK,Better Off Without You (feat. Shift K3Y),spotify:album:6ItQBh0GYXQc3jYGP79Ww9,Better Off Without You (feat. Shift K3Y),3oIVK7arAFuUOCGafPLxSC,77,1,2020-01-10,day
Niall Horan,spotify:artist:1Hsdzj7Dlq2I7tHP7501T4,No Judgement,spotify:album:2KA0hztJvCs7eD7nv5316T,No Judgement,5IUOU5xkzGHsRFOYNu3GSK,84,1,2020-02-07,day
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,After Hours,spotify:album:4yP0hdKOZPNshxUOjY0cZj,In Your Eyes,7szuecWAPwGoV1e5vGu8tl,87,14,2020-03-20,day
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,After Hours,spotify:album:4yP0hdKOZPNshxUOjY0cZj,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,83,14,2020-03-20,day
Lil Mosey,spotify:artist:5zctI4wO9XSKS8XwcnqEHk,Blueberry Faygo,spotify:album:6rBennOYWR1OZQnsU39PKL,Blueberry Faygo,6wJYhPfqk3KGhHRG76WzOh,92,1,2020-02-07,day
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,After Hours,spotify:album:4yP0hdKOZPNshxUOjY0cZj,Hardest To Love,6kWxIqQDsKFYCJGbU4AjCX,83,14,2020-03-20,day
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,After Hours,spotify:album:4yP0hdKOZPNshxUOjY0cZj,Alone Again,6b5P51m8xx2XA6U7sdNZ5E,84,14,2020-03-20,day
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,After Hours,spotify:album:4yP0hdKOZPNshxUOjY0cZj,Save Your Tears,5QO79kh1waicV47BqGRL3g,83,14,2020-03-20,day
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,After Hours,spotify:album:4yP0hdKOZPNshxUOjY0cZj,Too Late,2K9Ovn1o2bTGqbsABGC6m3,83,14,2020-03-20,day
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,After Hours,spotify:album:4yP0hdKOZPNshxUOjY0cZj,After Hours,2p8IUWQDrpjuFltbdgLOag,82,14,2020-03-20,day
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,After Hours,spotify:album:4yP0hdKOZPNshxUOjY0cZj,Scared To Live,4BGZF4oLbTL0pWm7C18pbv,83,14,2020-03-20,day
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,After Hours,spotify:album:4yP0hdKOZPNshxUOjY0cZj,Heartless,6bnF93Rx87YqUBLSgjiMU8,82,14,2020-03-20,day
